Régions,Sexe,Milieu,AgeRange,Population,,
Gouvernorat de Medenine,Masculin,Rural,15-19 ans,4271,,
Gouvernorat de Medenine,Masculin,Rural,20-29 ans,8273,,
Gouvernorat de Medenine,Féminin,Communal,5-9  ans,15218,,
Gouvernorat de Medenine,Féminin,Communal,10-14 ans,13400,,
Gouvernorat de Medenine,Féminin,Communal,15-19 ans,14249,,
Gouvernorat de Medenine,Féminin,Communal,20-29 ans,33065,,
Gouvernorat de Medenine,Féminin,Rural,5-9  ans,4010,,
Gouvernorat de Medenine,Féminin,Rural,10-14 ans,3554,,
Gouvernorat de Medenine,Féminin,Rural,15-19 ans,4525,,
Gouvernorat de Medenine,Féminin,Rural,20-29 ans,11053,,
Gouvernorat de Tataouine,Masculin,Communal,5-9  ans,3853,,
Gouvernorat de Tataouine,Masculin,Communal,10-14 ans,3547,,
Gouvernorat de Tataouine,Masculin,Communal,15-19 ans,4160,,
Gouvernorat de Tataouine,Masculin,Communal,20-29 ans,8404,,
Gouvernorat de Tataouine,Masculin,Rural,5-9  ans,2318,,
Gouvernorat de Tataouine,Masculin,Rural,10-14 ans,2240,,
Gouvernorat de Tataouine,Masculin,Rural,15-19 ans,2569,,
Gouvernorat de Tataouine,Masculin,Rural,20-29 ans,4394,,
Gouvernorat de Tataouine,Féminin,Communal,5-9  ans,3653,,
Gouvernorat de Tataouine,Féminin,Communal,10-14 ans,3430,,
Gouvernorat de Tataouine,Féminin,Communal,15-19 ans,4182,,
Gouvernorat de Tataouine,Féminin,Communal,20-29 ans,9897,,
Gouvernorat de Tataouine,Féminin,Rural,5-9  ans,2140,,
Gouvernorat de Tataouine,Féminin,Rural,10-14 ans,2168,,
Gouvernorat de Tataouine,Féminin,Rural,15-19 ans,2763,,
Gouvernorat de Tataouine,Féminin,Rural,20-29 ans,5963,,
Gouvernorat de Gafsa,Masculin,Communal,5-9  ans,9425,,
Gouvernorat de Gafsa,Masculin,Communal,10-14 ans,9167,,
Gouvernorat de Gafsa,Masculin,Communal,15-19 ans,9340,,
Gouvernorat de Gafsa,Masculin,Communal,20-29 ans,21163,,
Gouvernorat de Gafsa,Masculin,Rural,5-9  ans,3627,,
Gouvernorat de Gafsa,Masculin,Rural,10-14 ans,3315,,
Gouvernorat de Gafsa,Masculin,Rural,15-19 ans,3549,,
Gouvernorat de Gafsa,Masculin,Rural,20-29 ans,7740,,
Gouvernorat de Gafsa,Féminin,Communal,5-9  ans,9187,,
Gouvernorat de Gafsa,Féminin,Communal,10-14 ans,8935,,
Gouvernorat de Gafsa,Féminin,Communal,15-19 ans,9802,,
Gouvernorat de Gafsa,Féminin,Communal,20-29 ans,22959,,
Gouvernorat de Gafsa,Féminin,Rural,5-9  ans,3498,,
Gouvernorat de Gafsa,Féminin,Rural,10-14 ans,3213,,
Gouvernorat de Gafsa,Féminin,Rural,15-19 ans,3764,,
Gouvernorat de Gafsa,Féminin,Rural,20-29 ans,8661,,
Gouvernorat de Tozeur,Masculin,Communal,5-9  ans,3325,,
Gouvernorat de Tozeur,Masculin,Communal,10-14 ans,2883,,
Gouvernorat de Tozeur,Masculin,Communal,15-19 ans,2942,,
Gouvernorat de Tozeur,Masculin,Communal,20-29 ans,5801,,
Gouvernorat de Tozeur,Masculin,Rural,5-9  ans,1393,,
Gouvernorat de Tozeur,Masculin,Rural,10-14 ans,1208,,
Gouvernorat de Tozeur,Masculin,Rural,15-19 ans,1310,,
Gouvernorat de Tozeur,Masculin,Rural,20-29 ans,3096,,
Gouvernorat de Tozeur,Féminin,Communal,5-9  ans,3154,,
Gouvernorat de Tozeur,Féminin,Communal,10-14 ans,2865,,
Gouvernorat de Tozeur,Féminin,Communal,15-19 ans,2919,,
Gouvernorat de Tozeur,Féminin,Communal,20-29 ans,6419,,
Gouvernorat de Tozeur,Féminin,Rural,5-9  ans,1410,,
Gouvernorat de Tozeur,Féminin,Rural,10-14 ans,1276,,
Gouvernorat de Tozeur,Féminin,Rural,15-19 ans,1337,,
Gouvernorat de Tozeur,Féminin,Rural,20-29 ans,3097,,
Gouvernorat de Kébili,Masculin,Communal,5-9  ans,3345,,
Gouvernorat de Kébili,Masculin,Communal,10-14 ans,2894,,
Gouvernorat de Kébili,Masculin,Communal,15-19 ans,3290,,
Gouvernorat de Kébili,Masculin,Communal,20-29 ans,7190,,
Gouvernorat de Kébili,Masculin,Rural,5-9  ans,2857,,
Gouvernorat de Kébili,Masculin,Rural,10-14 ans,2404,,
Gouvernorat de Kébili,Masculin,Rural,15-19 ans,2894,,
Gouvernorat de Kébili,Masculin,Rural,20-29 ans,6811,,
Gouvernorat de Kébili,Féminin,Communal,5-9  ans,3287,,
Gouvernorat de Kébili,Féminin,Communal,10-14 ans,2821,,
Gouvernorat de Kébili,Féminin,Communal,15-19 ans,3149,,
Gouvernorat de Kébili,Féminin,Communal,20-29 ans,7653,,
Gouvernorat de Kébili,Féminin,Rural,5-9  ans,2763,,
Gouvernorat de Kébili,Féminin,Rural,10-14 ans,2469,,
Gouvernorat de Kébili,Féminin,Rural,15-19 ans,2843,,
Gouvernorat de Kébili,Féminin,Rural,20-29 ans,7401,,
