"Clé","Name (English)","اسم (العربية)","Nom (français)","ISO","Propriétaire (Id)","Propriétaire (Nom)"
"27679529","Taïeb El M'hiri","الطيب المهيري","Taïeb El M'hiri","","1153","Délégation de Bab El Bhar"
"27679539","Hédi Chaker","الهادي شاكر","Hédi Chaker","","1153","Délégation de Bab El Bhar"
"27679549","Sidi El Bahri","سيدي البحري","Sidi El Bahri","","1153","Délégation de Bab El Bhar"
"1154","Delegation of Bab Souika","معتمدية  باب سويقة","Délégation de Bab Souika","","11","Gouvernorat de Tunis"
"27679559","Tronja","ترنجة","Tronja","","1154","Délégation de Bab Souika"
"27679569","Bab El Khadra","باب الخضراء","Bab El Khadra","","1154","Délégation de Bab Souika"
"27679579","Bab Sâadoun","باب سعدون","Bab Sâadoun","","1154","Délégation de Bab Souika"
"27679589","Borj Zouara","برج زوارة","Borj Zouara","","1154","Délégation de Bab Souika"
"27679599","Bab El Assel","باب العسل","Bab El Assel","","1154","Délégation de Bab Souika"
"27679609","El Halfaouine","الحلفاوين","El Halfaouine","","1154","Délégation de Bab Souika"
"27679619","Bab Souika","باب سويقة","Bab Souika","","1154","Délégation de Bab Souika"
"27679629","Bab Sidi Abdessalem","باب سيدي عبد السلام","Bab Sidi Abdessalem","","1154","Délégation de Bab Souika"
"27679639","Zaouiet El Bekria","الزاوية البكرية","Zaouiet El Bekria","","1154","Délégation de Bab Souika"
"27679649","Hammam El Rmimi","حمام الرميمي","Hammam El Rmimi","","1154","Délégation de Bab Souika"
"27679659","Sidi Djebali","سيدي الجبالي","Sidi Djebali","","1154","Délégation de Bab Souika"
"1155","Delegation of El Omrane","معتمدية  العمران","Délégation de El Omrane","","11","Gouvernorat de Tunis"
"27679669","El Omrane","العمران","El Omrane","","1155","Délégation de El Omrane"
"27679679","Djebel El Ahmar","الجبل الأحمر","Djebel El Ahmar","","1155","Délégation de El Omrane"
"27679689","Cité des Oliviers","حي الزياتين","Cité des Oliviers","","1155","Délégation de El Omrane"
"27679699","Ras Tabia","رأس الطابية","Ras Tabia","","1155","Délégation de El Omrane"
"27679709","Bir Atig","بئر عتيق","Bir Atig","","1155","Délégation de El Omrane"
"27679719","Oued El Sebai","وادي السبعي","Oued El Sebai","","1155","Délégation de El Omrane"
"1156","Delegation of El Omrane Supérieur","معتمدية  العمران الأعلى","Délégation de El Omrane Supérieur","","11","Gouvernorat de Tunis"
"27679729","Cité Ibn Khaldoun I","حي بن خلدون الأول","Cité Ibn Khaldoun I","","1156","Délégation de El Omrane Supérieur"
"27679739","El Romana","الرمانة","El Romana","","1156","Délégation de El Omrane Supérieur"
"27679749","Cité Ibn Khaldoun II","حي بن خلدون الثاني","Cité Ibn Khaldoun II","","1156","Délégation de El Omrane Supérieur"
"27679759","Cité Ibn Khaldoun VI","حي بن خلدون السادس","Cité Ibn Khaldoun VI","","1156","Délégation de El Omrane Supérieur"
"27679769","Cité El Intilaka","حي الإنطلاقة","Cité El Intilaka","","1156","Délégation de El Omrane Supérieur"
"27679779","El Omrane Supérieur","العمران الأعلى","El Omrane Supérieur","","1156","Délégation de El Omrane Supérieur"
"27679789","El Nassim","النسيم","El Nassim","","1156","Délégation de El Omrane Supérieur"
"27679799","Ahmed Tlili","أحمد التليلي","Ahmed Tlili","","1156","Délégation de El Omrane Supérieur"
"27679809","Es-Sadique","الصديق","Es-Sadique","","1156","Délégation de El Omrane Supérieur"
"1157","Delegation of Ettahrir","معتمدية  التحرير","Délégation de Ettahrir","","11","Gouvernorat de Tunis"
"27679819","Ettahrir (1)","التحرير الأول","Ettahrir (1)","","1157","Délégation de Ettahrir"
"27679829","Ettahrir (2)","التحرير الثاني","Ettahrir (2)","","1157","Délégation de Ettahrir"
"27679839","Ettahrir (3)","التحرير الثالث","Ettahrir (3)","","1157","Délégation de Ettahrir"
"27679849","Ettahrir Superieur","التحرير العلوي","Ettahrir Superieur","","1157","Délégation de Ettahrir"
"27679859","El Hadika","الحديقة","El Hadika","","1157","Délégation de Ettahrir"
"1158","Delegation of El Menzah","معتمدية  المنزه","Délégation de El Menzah","","11","Gouvernorat de Tunis"
"27679869","1er Juin","غرة جوان","1er Juin","","1158","Délégation de El Menzah"
"27679879","El Menzah","المنزه","El Menzah","","1158","Délégation de El Menzah"
"27679889","El Fath","الفتح","El Fath","","1158","Délégation de El Menzah"
"27679899","El Manar","المنار","El Manar","","1158","Délégation de El Menzah"
"27679909","El Manar (1)","المنار(1)","El Manar (1)","","1158","Délégation de El Menzah"
"1159","Delegation of Cité El Khadhra","معتمدية  حي الحضراء","Délégation de Cité El Khadhra","","11","Gouvernorat de Tunis"
"27679919","Cité El Khadra","حي الخضراء","Cité El Khadra","","1159","Délégation de Cité El Khadhra"
"27679929","Cité Jardin","حي الحدائق","Cité Jardin","","1159","Délégation de Cité El Khadhra"
"27679939","Ech-Charguia","الشرقية","Ech-Charguia","","1159","Délégation de Cité El Khadhra"
